54.0,63.0,56.84,2.7,0.0,2.36,38.1,0.0
54.0,59.0,70.55,29.45,0.0,0.0,0.0,0.0
57.0,59.0,20.93,0.87,0.0,0.96,77.24,0.0
54.0,58.0,91.96,8.04,0.0,0.0,0.0,0.0
57.0,57.0,89.35,8.71,1.94,0.0,0.0,0.0
54.0,55.0,37.36,2.25,0.0,2.14,58.25,0.0
37.0,84.0,1.0,0.36,72.8,25.84,0.0,0.0
33.0,84.0,61.37,0.4,14.62,23.61,0.0,0.0
38.0,82.0,69.36,26.89,3.75,0.0,0.0,0.0
36.0,80.0,2.41,0.0,95.15,2.44,0.0,0.0
39.0,79.0,3.05,0.39,94.73,0.71,0.0,0.82
38.0,78.0,63.51,9.79,19.29,7.41,0.0,0.0
39.0,78.0,75.1,21.48,0.0,3.42,0.0,0.0
38.0,77.0,90.09,0.0,6.75,3.16,0.0,0.0
39.0,76.0,83.8,16.2,0.0,0.0,0.0,0.0
39.0,75.0,73.4,26.32,0.0,0.28,0.0,0.0
38.0,73.0,78.56,21.44,0.0,0.0,0.0,0.0
39.0,72.0,66.48,31.99,0.0,1.35,0.0,0.18
62.0,47.0,71.29,0.0,23.93,4.78,0.0,0.0
37.0,70.0,74.82,0.0,25.18,0.0,0.0,0.0
37.0,69.0,83.21,15.53,0.0,1.26,0.0,0.0
51.0,46.0,90.63,9.37,0.0,0.0,0.0,0.0
55.0,44.0,71.07,22.67,5.49,0.77,0.0,0.0
55.0,43.0,79.52,20.48,0.0,0.0,0.0,0.0
53.0,46.0,0.71,0.44,0.22,98.63,0.0,0.0
54.0,46.0,67.39,29.98,0.0,2.63,0.0,0.0
54.0,47.0,95.28,4.37,0.0,0.0,0.0,0.35
39.0,68.0,0.54,0.0,66.35,33.11,0.0,0.0
25.0,46.0,89.67,10.33,0.0,0.0,0.0,0.0
25.0,47.0,81.9,18.1,0.0,0.0,0.0,0.0
25.0,47.0,95.97,4.03,0.0,0.0,0.0,0.0
44.0,65.0,7.97,0.0,61.51,30.52,0.0,0.0
44.0,64.0,30.27,3.07,0.0,1.77,63.46,1.43
43.0,63.0,72.99,0.0,23.48,3.53,0.0,0.0
46.0,64.0,0.0,0.0,81.33,18.67,0.0,0.0
43.0,58.0,73.81,1.01,13.53,11.65,0.0,0.0
52.0,84.0,64.54,0.0,13.47,21.99,0.0,0.0
54.0,83.0,37.75,5.4,0.0,3.73,53.12,0.0
55.0,81.0,0.0,0.0,59.79,40.21,0.0,0.0
54.0,77.0,78.28,15.41,6.31,0.0,0.0,0.0
58.0,77.0,79.24,20.76,0.0,0.0,0.0,0.0
54.0,76.0,71.96,1.27,13.66,13.11,0.0,0.0
56.0,74.0,80.13,6.28,10.75,2.84,0.0,0.0
55.0,71.0,74.37,0.58,21.72,3.33,0.0,0.0
58.0,61.0,75.04,24.96,0.0,0.0,0.0,0.0
58.0,56.0,66.86,33.14,0.0,0.0,0.0,0.0
5.0,31.0,79.13,18.05,0.0,2.82,0.0,0.0
22.0,35.0,88.22,0.0,10.56,1.22,0.0,0.0
43.0,35.0,77.23,16.49,0.0,6.28,0.0,0.0
41.0,34.0,75.84,24.16,0.0,0.0,0.0,0.0
42.0,31.0,72.02,0.0,24.72,3.26,0.0,0.0
57.0,34.0,75.83,24.17,0.0,0.0,0.0,0.0
53.0,31.0,99.19,0.0,0.0,0.81,0.0,0.0
63.0,39.0,78.71,19.86,1.43,0.0,0.0,0.0
53.0,41.0,1.93,0.0,63.48,34.59,0.0,0.0
30.0,35.0,23.48,1.51,0.0,4.06,70.95,0.0
31.0,41.0,81.11,2.08,8.52,8.29,0.0,0.0
