Popular Quotes,Author Names,Likes,Links,Images
"    I would have come for you. And if I couldn't walk, I'd crawl to you, and no matter how broken we were, we'd fight our way out together-knives drawn, pistols blazing. Because that's what we do. We never stop fighting.","    Leigh Bardugo,  ",7359,/author/show/4575289.Leigh_Bardugo,https://images.gr-assets.com/authors/1534446099p2/4575289.jpg
"    Courage is the most important of all the virtues because without courage, you can't practice any other virtue consistently.",    Maya Angelou  ,7340,/author/show/3503.Maya_Angelou,https://images.gr-assets.com/authors/1379017377p2/3503.jpg
"    If you're going to try, go all the way. Otherwise, don't even start. This could mean losing girlfriends, wives, relatives and maybe even your mind. It could mean not eating for three or four days. It could mean freezing on a park bench. It could mean jail. It could mean derision. It could mean mockery--isolation. Isolation is the gift. All the others are a test of your endurance, of how much you really want to do it. And, you'll do it, despite rejection and the worst odds. And it will be better than anything else you can imagine. If you're going to try, go all the way. There is no other feeling like that. You will be alone with the gods, and the nights will flame with fire. You will ride life straight to perfect laughter. It's the only good fight there is.","    Charles Bukowski,  ",7323,/author/show/13275.Charles_Bukowski,https://images.gr-assets.com/authors/1501509674p2/13275.jpg
"    You know, you could live a thousand lifetimes and not deserve him.","    Suzanne Collins,  ",7312,/author/show/153394.Suzanne_Collins,https://images.gr-assets.com/authors/1630199330p2/153394.jpg
    Waiting is painful. Forgetting is painful. But not knowing which to do is the worst kind of suffering.,"    Paulo Coelho,  ",7304,/author/show/566.Paulo_Coelho,https://images.gr-assets.com/authors/1201840056p2/566.jpg
    Never let your sense of morals prevent you from doing what is right.,"    Isaac Asimov,  ",7291,/author/show/16667.Isaac_Asimov,https://images.gr-assets.com/authors/1341965730p2/16667.jpg
    What is a friend? A single soul dwelling in two bodies.,    Aristotle  ,7278,/author/show/2192.Aristotle,https://images.gr-assets.com/authors/1651532053p2/2192.jpg
"    We're all going to die, all of us, what a circus! That alone should make us love each other but it doesn't. We are terrorized and flattened by trivialities, we are eaten up by nothing.",    Charles Bukowski  ,7269,/author/show/13275.Charles_Bukowski,https://images.gr-assets.com/authors/1501509674p2/13275.jpg
"    Whoever fights monsters should see to it that in the process he does not become a monster. And if you gaze long enough into an abyss, the abyss will gaze back into you.",    Friedrich Nietzsche  ,7265,/author/show/1938.Friedrich_Nietzsche,https://images.gr-assets.com/authors/1651474065p2/1938.jpg
"    Take responsibility of your own happiness, never put it in other peopl?ôs hands.","    Roy T. Bennett,  ",7255,/work/quotes/49604402, 
"    For the two of us, home isn't a place. It is a person. And we are finally home.","    Stephanie Perkins,  ",7247,/author/show/3095893.Stephanie_Perkins,https://images.gr-assets.com/authors/1407443106p2/3095893.jpg
    I can't imagine a man really enjoying a book and reading it only once.,    C.S. Lewis  ,7245,/author/show/1069006.C_S_Lewis,https://images.gr-assets.com/authors/1564671804p2/1069006.jpg
"    A human being is a part of the whole called by us universe, a part limited in time and space. He experiences himself, his thoughts and feeling as something separated from the rest, a kind of optical delusion of his consciousness. This delusion is a kind of prison for us, restricting us to our personal desires and to affection for a few persons nearest to us. Our task must be to free ourselves from this prison by widening our circle of compassion to embrace all living creatures and the whole of nature in its beauty.",    Albert Einstein  ,7226,/author/show/9810.Albert_Einstein,https://images.gr-assets.com/authors/1429114964p2/9810.jpg
    The most important thing is to enjoy your lif?îto be happ?îit's all that matters.,    Audrey Hepburn  ,7223,/author/show/692403.Audrey_Hepburn,https://images.gr-assets.com/authors/1362614211p2/692403.jpg
"    No relationship is perfect, ever. There are always some ways you have to bend, to compromise, to give something up in order to gain something greater...The love we have for each other is bigger than these small differences. And that's the key. It's like a big pie chart, and the love in a relationship has to be the biggest piece. Love can make up for a lot.","    Sarah Dessen,  ",7201,/author/show/2987.Sarah_Dessen,https://images.gr-assets.com/authors/1372181953p2/2987.jpg
"    Not everything is about you,"" Clary said furiously.""Possibly,"" Jace said, ""but you do have to admit that the majority of things are.","    Cassandra Clare,  ",7185,/author/show/150038.Cassandra_Clare,https://images.gr-assets.com/authors/1270502031p2/150038.jpg
    The most courageous act is still to think for yourself. Aloud.,    Coco Chanel  ,7180,/author/show/3004479.Coco_Chanel,https://images.gr-assets.com/authors/1340706964p2/3004479.jpg
    Never be bullied into silence. Never allow yourself to be made a victim. Accept no on?ôs definition of your life; define yourself.,    Robert Frost  ,7176,/author/show/7715.Robert_Frost,https://images.gr-assets.com/authors/1605640483p2/7715.jpg
"    People aren't either wicked or noble. They're like chef's salads, with good things and bad things chopped and mixed together in a vinaigrette of confusion and conflict.","    Lemony Snicket,  ",7164,/author/show/36746.Lemony_Snicket,https://images.gr-assets.com/authors/1199734355p2/36746.jpg
